"gen_model","fit_model","K_target","K_true","K_hat","K_p.mean","K_ci_lo","K_ci_hi","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","hyper_source","mu0","sigma0","tau0","a_kappa_prior","b_kappa_prior","a_eta_prior","b_eta_prior","gamma_gn_prior","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","delta_looic_best","delta_looic_best_se","delta_looic_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","looic_wst_minus_sst","looic_wst_minus_sst_se","looic_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","looic_wst_minus_dc","looic_wst_minus_dc_se","looic_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","looic_sst_minus_dc","looic_sst_minus_dc_se","looic_sst_minus_dc_z","rep_id","kappa_sd","density","eta_mean","eta_sd","eta_mode"
"DC-SBM","WST",NA,10,1,4.644,1,8,"misspecified",1.6,0.16,0.7,0.04,3,54,"4;4;9;14;4;3;5;5;6;6",1.6,1,3.15979038925055,-1933.05727260594,51.2022613721277,149.503154177199,8.62872179603212,3866.11454521187,102.404522744255,0.00790960451977401,14,0.912392473332864,0.244347553760793,1770,178.665,1002,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403652095403699,0.331145887490902,0.479775641025641,142.722513089005,350.705759162304,45,NA,NA,3,"DC-SBM",-14.748100944721,3.81080307627784,3.87007689705291,29.4962018894421,7.62160615255568,3.87007689705291,-4.66604612630294,1.70105009317175,2.74303863538945,9.33209225260589,3.4021001863435,2.74303863538945,-14.748100944721,3.81080307627784,3.87007689705291,29.4962018894421,7.62160615255568,3.87007689705291,-10.0820548184181,3.73489559600686,2.69942078948533,20.1641096368362,7.46979119201372,2.69942078948533,1,0.4,"moderate",1,0.1,"GAMMA"
"DC-SBM","SST",NA,10,1,4.373,1,7,"misspecified",1.6,0.16,0.7,0.04,3,54,"4;4;9;14;4;3;5;5;6;6",1.6,1,3.15979038925055,-1928.39122647963,50.9622987898492,136.367543605337,7.53781847837715,3856.78245295927,101.924597579698,0.00225988700564972,4,0.840518077655412,0.2170925060419,1770,437.856,1003,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426126560798224,0.33760535705052,0.504954225352113,155.164426059979,359.383660806618,33,NA,NA,2,"DC-SBM",-10.0820548184181,3.73489559600686,2.69942078948533,20.1641096368362,7.46979119201372,2.69942078948533,-4.66604612630294,1.70105009317175,2.74303863538945,9.33209225260589,3.4021001863435,2.74303863538945,-14.748100944721,3.81080307627784,3.87007689705291,29.4962018894421,7.62160615255568,3.87007689705291,-10.0820548184181,3.73489559600686,2.69942078948533,20.1641096368362,7.46979119201372,2.69942078948533,1,0.4,"moderate",1,0.1,"GAMMA"
"DC-SBM","DC-SBM",NA,10,2,2.658,2,4,"misspecified",1.6,0.16,0.7,0.04,3,54,"4;4;9;14;4;3;5;5;6;6",1.6,1,2.59166692293824,-1918.30917166122,50.3995079273243,116.190969866205,6.79649889153855,3836.61834332243,100.799015854649,0.0485875706214689,86,1.19673358914538,0.260887854101852,1770,35.583,1004,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47008673999651,0.371417050691244,0.587995651183106,114.799,243.686,484,0.575757575757576,114,1,"DC-SBM",0,0,NA,0,0,NA,-4.66604612630294,1.70105009317175,2.74303863538945,9.33209225260589,3.4021001863435,2.74303863538945,-14.748100944721,3.81080307627784,3.87007689705291,29.4962018894421,7.62160615255568,3.87007689705291,-10.0820548184181,3.73489559600686,2.69942078948533,20.1641096368362,7.46979119201372,2.69942078948533,1,0.4,"moderate",1,0.1,"GAMMA"
"SST","WST",NA,3,3,3.345,3,5,"hard",1.4,0.2025,0.45,0.0144,3,112,"13;20;27",1.4,0.922986122904997,0.360470182316648,-4728.23952219909,39.4189756060244,83.7307633348994,2.56985166087319,9456.47904439818,78.8379512120488,0.0214689265536723,38,1.317324646487,0.178000809681755,1770,272.037,1003,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.944827586206897,0,1,290,0.0134303816285979,0.927586206896552,0,1,290.000000000001,0.0152454015611469,0.626783450283112,0.60406608686534,0.649014154876678,602.218481812744,0.000467164572874261,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.387005649717514,0,1,708.000000000001,0.0183179631735952,0.379943502824859,0,1,707.999999999999,0.0182543105868577,1,1,0.409604519774011,1,1,0.409604519774011,1,1,1,0,0,0,0.993378555093837,0.979120493547306,0.999988782518929,0.0428749391606535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379534571915358,0.375187256698211,0.386127747101152,1063.743,2802.495,708,0.621022524133,1737,3,"SST",-4.6766784211859,0.796115793930408,5.87436960407132,9.3533568423718,1.59223158786082,5.87436960407132,-4.6766784211859,0.796115793930408,5.87436960407132,9.3533568423718,1.59223158786082,5.87436960407132,-3.29115743006423,0.779131442642433,4.22413632660265,6.58231486012846,1.55826288528487,4.22413632660265,1.38552099112167,0.553890064288525,2.50143680208703,-2.77104198224333,1.10778012857705,2.50143680208703,1,0.45,"moderate",1,0.1,"GAMMA"
"SST","SST",NA,3,3,3.107,3,4,"hard",1.4,0.2025,0.45,0.0144,3,112,"13;20;27",1.4,0.922986122904997,0.360470182316648,-4723.56284377791,39.3750575353034,74.4148535282244,2.36494964816143,9447.12568755581,78.7501150706067,0.0192090395480226,34,1.35315286139385,0.142810256382674,1770,1077.405,1004,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.960099750623441,0,1,400.999999999998,0.00978624282810405,0.942643391521197,0,1,244.006043621763,0.0149041545148298,0.627212219469817,0.606551626920028,0.64587101808362,759.716197238702,0.000363764497380928,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.430648769574944,0,1,979.931313639091,0.0158269397543647,0.422818791946309,0,1,989.151357917289,0.0157161037128785,1,1,0.448545861297539,1,1,0.448545861297539,1,1,1,0,0,0,0.99405434968012,0.980297573071463,0.999979898294326,0.0348702166598816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379368108132187,0.377310619789779,0.382956155611895,1057.523,2787.539,894,0.621022524133,1737,1,"SST",0,0,NA,0,0,NA,-4.6766784211859,0.796115793930408,5.87436960407132,9.3533568423718,1.59223158786082,5.87436960407132,-3.29115743006423,0.779131442642433,4.22413632660265,6.58231486012846,1.55826288528487,4.22413632660265,1.38552099112167,0.553890064288525,2.50143680208703,-2.77104198224333,1.10778012857705,2.50143680208703,1,0.45,"moderate",1,0.1,"GAMMA"
"SST","DC-SBM",NA,3,3,3,3,3,"hard",1.4,0.2025,0.45,0.0144,3,112,"13;20;27",1.4,0.922986122904997,0.360470182316648,-4724.94836476903,39.3433565332474,75.4886360835968,2.41832849627521,9449.89672953806,78.6867130664947,0.00903954802259887,16,1.55237360993197,0.121305568466123,1770,38.9300000000001,1005,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.935034802784223,0,1,431.000000000001,0.0118855707288284,0.91415313225058,0,1,431,0.0135094439875802,0.626782871357292,0.6046973521843,0.651158434531425,761.532502913612,0.000420052006409057,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.403,0,1,1203.43260431195,0.0141464040334315,0.394,0,1,1244.34152666736,0.0138589995758153,1,1,0.431,1,1,0.431,1,1,1,0,0,0,0.993556920942158,0.979459397524191,0.999991146969262,0.0401390799988993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379483841150452,0.376953552520968,0.383303730017762,1056.264,2783.378,1000,0.621022524133,1737,2,"SST",-1.38552099112167,0.553890064288525,2.50143680208703,2.77104198224333,1.10778012857705,2.50143680208703,-4.6766784211859,0.796115793930408,5.87436960407132,9.3533568423718,1.59223158786082,5.87436960407132,-3.29115743006423,0.779131442642433,4.22413632660265,6.58231486012846,1.55826288528487,4.22413632660265,1.38552099112167,0.553890064288525,2.50143680208703,-2.77104198224333,1.10778012857705,2.50143680208703,1,0.45,"moderate",1,0.1,"GAMMA"
"SST","WST",NA,5,5,5.025,5,5.02499999999998,"easy",4,1,0.7,0.0225,3,113,"3;6;28;13;10",4,1,4.44089209850063e-16,-5792.16067492091,44.993699784348,85.1900877419798,2.89935842786236,11584.3213498418,89.9873995686959,0.000564971751412429,1,0.955875226255592,0.0928287297248738,1770,396.029,1004,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.98174358974359,0.8,1,515.958077557502,0.00207081149944625,1,1,1,0,NA,1,1,1,0,NA,0.999578754578755,1,1,549.209257531562,0.000324327333957779,0.745559625559626,0.333333333333333,0.777777777777778,186.567227710573,0.00832766414481759,0.79552050699676,0.778767181452142,0.812761646759606,744.439421946263,0.000312919858386716,1,1,1,0,NA,0.98174358974359,0.8,1,515.958077557502,0.00207081149944625,1,1,1,0,NA,1,1,1,0,NA,0.876512820512821,0.6,0.9,171.180524005151,0.00624964472797338,0.661948717948718,0.2,0.7,152.135717775944,0.0104100946100871,10,10,8.76820512820513,1,1,0.876820512820513,1,1,1,0,0,0,0.990408829716325,0.974099386099,0.997919190839258,0.207858118851253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221197295649878,0.22078893251075,0.221498796288352,1185.989,5361.67,975,0.481909735173443,2584,2,"SST",-4.17920934963877,1.99895474779625,2.09069732781402,8.35841869927754,3.9979094955925,2.09069732781402,-4.17920934963877,1.99895474779625,2.09069732781402,8.35841869927754,3.9979094955925,2.09069732781402,17.0675971512701,7.20046887507753,2.37034524381391,-34.1351943025402,14.4009377501551,2.37034524381391,21.2468065009089,7.24388285440804,2.93306875993719,-42.4936130018177,14.4877657088161,2.93306875993719,1,1,"dense",1,0.1,"GAMMA"
"SST","SST",NA,5,5,5.003,5,5,"easy",4,1,0.7,0.0225,3,113,"3;6;28;13;10",4,1,4.44089209850063e-16,-5787.98146557127,45.0332361725535,79.0622983536194,2.8536287856983,11575.9629311425,90.0664723451069,0.00112994350282486,2,0.861415467753501,0.0903620716563542,1770,1306.433,1005,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.999588049863877,1,1,603.865488001872,0.00030587706451692,0.72822037541195,0.333333333333333,0.777777777777778,287.33620542837,0.00819948550731939,0.802373778712738,0.791493016359554,0.813106020486773,601.469608320152,0.00023486823337121,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.867101303911735,0.6,0.9,321.937951132785,0.0052686792396053,0.644433299899699,0.2,0.7,295.054683068067,0.0090786344955444,10,10,8.6740220661986,1,1,0.86740220661986,1,1,1,0,0,0,0.993068372006281,0.979667091161869,0.999331868794423,0.114533713045183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221137542254183,0.22078893251075,0.22118612458038,1185.316,5360.08,997,0.481909735173443,2584,1,"SST",0,0,NA,0,0,NA,-4.17920934963877,1.99895474779625,2.09069732781402,8.35841869927754,3.9979094955925,2.09069732781402,17.0675971512701,7.20046887507753,2.37034524381391,-34.1351943025402,14.4009377501551,2.37034524381391,21.2468065009089,7.24388285440804,2.93306875993719,-42.4936130018177,14.4877657088161,2.93306875993719,1,1,"dense",1,0.1,"GAMMA"
"SST","DC-SBM",NA,5,4,4,4,4,"easy",4,1,0.7,0.0225,3,113,"3;6;28;13;10",4,0.97437679145314,0.137744375108174,-5809.22827207218,44.7414495527635,76.4431501319868,2.54313383734191,11618.4565441444,89.4828991055269,0.00677966101694915,12,2.0810610494636,0.0824728644345204,1770,48.443,1006,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.9945,1,1,867.527065760474,0.00124565138663965,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.494666666666667,0.333333333333333,0.5,999.999999999978,0.000928065595846898,0.787467676684409,0.775295346909021,0.799358930519708,1130.82414773507,0.000187858321419399,1,1,1,0,NA,0.9945,1,1,867.527065760474,0.00124565138663965,1,1,1,0,NA,1,1,1,0,NA,0.508,0.5,0.75,999.999999999989,0.00139209839377034,0.25,0.25,0.25,0,NA,4,4,2.032,1,1,0.508,1,1,1,0,0,0,0.990953043456071,0.975415047021333,0.999321685286363,0.134413566229596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219720096891416,0.218905472636816,0.219747026618841,1163.36,5294.728,1000,0.483670001887861,2562,3,"SST",-21.2468065009089,7.24388285440804,2.93306875993719,42.4936130018177,14.4877657088161,2.93306875993719,-4.17920934963877,1.99895474779625,2.09069732781402,8.35841869927754,3.9979094955925,2.09069732781402,17.0675971512701,7.20046887507753,2.37034524381391,-34.1351943025402,14.4009377501551,2.37034524381391,21.2468065009089,7.24388285440804,2.93306875993719,-42.4936130018177,14.4877657088161,2.93306875993719,1,1,"dense",1,0.1,"GAMMA"
"WST","WST",NA,7,5,6.174,5,9,"hard",1.4,0.2025,0.45,0.0225,3,190,"5;7;4;3;3;18;20",1.4,0.757901815736382,1.2564387411802,-3791.47434054645,48.9097160630857,163.582571123165,6.72320017387221,7582.94868109289,97.8194321261714,0.0259887005649717,46,1.51558803777176,0.229728310860839,1770,303.302,1005,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.330952380952381,0,0.571428571428571,306,0.0069824795835102,0.999592833876222,1,1,307.000000000004,0.000407166123778499,0.315751512331317,0,0.428571428571429,250.120881534657,0.00669658948834395,0.773547127863089,0.333333333333333,1,306.999999999999,0.0105886330988228,0.327539941057856,0,0.726785714285713,241.615869278639,0.0131539834669811,0.632591114143262,0.587336269053604,0.672435673238826,204.337549224768,0.00150985173613222,0.7185667752443,0.4,1,209.371111306001,0.014646712503957,0.244625407166124,0,0.5,255.485245631142,0.00755191659760926,0.640390879478827,0.4,1,497.151657179203,0.0083941181528852,0.207817589576547,0,0.4,307,0.00567103794015226,0.484690553745928,0.2,0.8,229.853885085925,0.0105024234907121,0.207166123778502,0,0.5,255.372281303418,0.0086332006746224,7.185667752443,6.4071661237785,6.25407166123779,0.7185667752443,0.64071661237785,0.625407166123778,1,1,1,0,0,0,0.712097298776847,0.601439867166142,0.876265253225112,2.53827651966431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38520135667933,0.372929922589883,0.400216000575043,639.837,1661.005,307,0.602185089974293,937,1,"WST",0,0,NA,0,0,NA,22.8602749724246,4.66246004494422,4.90305005341832,-45.7205499448492,9.32492008988845,4.90305005341832,63.069371549595,12.4043961153373,5.08443707885249,-126.13874309919,24.8087922306747,5.08443707885249,40.2090965771704,10.2380106936713,3.92743256285385,-80.4181931543408,20.4760213873425,3.92743256285385,1,0.45,"moderate",1,0.1,"GAMMA"
"WST","SST",NA,7,5,5.672,4,7,"hard",1.4,0.2025,0.45,0.0225,3,190,"5;7;4;3;3;18;20",1.4,0.757901815736382,1.1437460294696,-3814.33461551887,49.4541549817391,169.948203081964,7.41418084773282,7628.66923103774,98.9083099634783,0.0112994350282486,20,1.01703862630181,0.209084744388984,1770,966.375,1006,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,0.99108040201005,0.875,1,75.7941675378625,0.00493531380795956,0.394594998803541,0.139642857142857,0.804285714285714,64.4318828041773,0.0218269490809598,0.779619326792694,0.4,1,398,0.00924311704063357,0.376993100422749,0,0.8025,398,0.0111877631023022,0.610809903216029,0.574158204824189,0.643375962999029,230.982764505967,0.00112337053564052,1,1,1,0,NA,1,1,1,0,NA,0.794472361809045,0.4,1,240.616060646544,0.0120314951610544,0.315829145728643,0.1,0.8,65.956837132122,0.0196302742439785,0.483165829145729,0.2,0.8,405.983866654491,0.00830516536508719,0.229396984924623,0,0.5,771.734441654444,0.00513099276386423,10,8.00753768844221,6.14824120603015,1,0.800753768844221,0.614824120603015,1,1,1,0,0,0,0.949090719279526,0.86326976782106,0.996637489906963,0.0757034822628413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392309701868657,0.376381464574524,0.417955546171931,647.048,1649.048,398,0.601869158878505,966,2,"WST",-22.8602749724246,4.66246004494422,4.90305005341832,45.7205499448492,9.32492008988845,4.90305005341832,22.8602749724246,4.66246004494422,4.90305005341832,-45.7205499448492,9.32492008988845,4.90305005341832,63.069371549595,12.4043961153373,5.08443707885249,-126.13874309919,24.8087922306747,5.08443707885249,40.2090965771704,10.2380106936713,3.92743256285385,-80.4181931543408,20.4760213873425,3.92743256285385,1,0.45,"moderate",1,0.1,"GAMMA"
"WST","DC-SBM",NA,7,1,2,2,2,"hard",1.4,0.2025,0.45,0.0225,3,190,"5;7;4;3;3;18;20",1.4,1,2.40242206466059,-3854.54371209604,50.2680853917106,110.857475086322,3.85823082412861,7709.08742419208,100.536170783421,0.00734463276836158,13,1.22447276042714,0.0891232708206624,1770,30.931,1007,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371616516439483,0.349963850837138,0.414183317700491,384.149,1031.688,0,NA,NA,3,"WST",-63.069371549595,12.4043961153373,5.08443707885249,126.13874309919,24.8087922306747,5.08443707885249,22.8602749724246,4.66246004494422,4.90305005341832,-45.7205499448492,9.32492008988845,4.90305005341832,63.069371549595,12.4043961153373,5.08443707885249,-126.13874309919,24.8087922306747,5.08443707885249,40.2090965771704,10.2380106936713,3.92743256285385,-80.4181931543408,20.4760213873425,3.92743256285385,1,0.45,"moderate",1,0.1,"GAMMA"
"WST","WST",NA,3,3,3.075,3,4,"easy",4,1,1.4,0.0625,3,2,"5;5;50",4,1,0,-6064.19739342807,46.6933125843459,66.5458889998815,2.46076381025663,12128.3947868561,93.3866251686918,0,0,0.6899700324141,0.0724196223821154,1770,351.682,1006,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.952789699570815,0,1,770.009058046266,0.00764719399275292,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.785616838295901,0.754068040663985,0.81094219960461,932.000000000001,0.00046733951496859,1,1,1,0,NA,0.952789699570815,0,1,770.009058046266,0.00764719399275292,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,0,0.961149799719659,0.906812285941979,0.995745227196417,0.686544934582986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20037412746747,0.200108445244731,0.20097779606139,366.357,1828.362,932,0.799671592775041,1461,3,"DC-SBM",-1.88019784912285,0.561643899647203,3.34766895946684,3.7603956982457,1.12328779929441,3.34766895946684,-0.425782178123882,1.5475832045914,0.275127163993938,0.851564356247763,3.0951664091828,0.275127163993938,-1.88019784912285,0.561643899647203,3.34766895946684,3.7603956982457,1.12328779929441,3.34766895946684,-1.45441567099897,1.4514264290849,1.00205952010668,2.90883134199794,2.9028528581698,1.00205952010668,1,1,"dense",1,0.1,"GAMMA"
"WST","SST",NA,3,3,3.05,3,4,"easy",4,1,1.4,0.0625,3,2,"5;5;50",4,1,0,-6063.77161124994,46.6032912556209,65.0336478489964,2.33654219876629,12127.5432224999,93.2065825112418,0,0,0.631791147530382,0.0837578254557908,1770,918.937,1007,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.801545903196839,0.783382993798668,0.819436077452548,951.000000000001,0.000296421049513021,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,0,0.938261394562963,0.898596857036297,0.973027672169841,1.12638519969425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200342085575289,0.200322908541081,0.200328407224959,366.213,1827.938,951,0.799671592775041,1461,2,"DC-SBM",-1.45441567099897,1.4514264290849,1.00205952010668,2.90883134199794,2.9028528581698,1.00205952010668,-0.425782178123882,1.5475832045914,0.275127163993938,0.851564356247763,3.0951664091828,0.275127163993938,-1.88019784912285,0.561643899647203,3.34766895946684,3.7603956982457,1.12328779929441,3.34766895946684,-1.45441567099897,1.4514264290849,1.00205952010668,2.90883134199794,2.9028528581698,1.00205952010668,1,1,"dense",1,0.1,"GAMMA"
"WST","DC-SBM",NA,3,3,3,3,3,"easy",4,1,1.4,0.0625,3,2,"5;5;50",4,1,0,-6062.31719557894,46.6042002406142,64.1132203020702,2.36011164168221,12124.6343911579,93.2084004812285,0,0,0.509321103711223,0.0693142765890312,1770,40.0839999999998,1008,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.948,0,1,999.999999999985,0.00702462421381714,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.786869880489771,0.757129232331945,0.813270489301463,999.999999999998,0.000446014013389205,1,1,1,0,NA,0.948,0,1,999.999999999985,0.00702462421381714,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,0,0.959691321246916,0.908892766380011,0.994166856547269,0.713291403307937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23535851122058,0.23535851122058,0.23535851122058,430,1827,1000,0.799671592775041,1461,1,"DC-SBM",0,0,NA,0,0,NA,-0.425782178123882,1.5475832045914,0.275127163993938,0.851564356247763,3.0951664091828,0.275127163993938,-1.88019784912285,0.561643899647203,3.34766895946684,3.7603956982457,1.12328779929441,3.34766895946684,-1.45441567099897,1.4514264290849,1.00205952010668,2.90883134199794,2.9028528581698,1.00205952010668,1,1,"dense",1,0.1,"GAMMA"
