gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,looic_WST,looic_SST,looic_DC,elpd_WST,elpd_SST,elpd_DC,pk_bad_WST,pk_bad_SST,pk_bad_DC,win_rate_WST,win_rate_SST,win_rate_DC,best_mean_looic,best_mean_model,ordered_best_model,ordered_best_looic,dloo_WST_minus_SST,dloo_WST_minus_DC,dloo_SST_minus_DC,dloo_ordered_best_minus_DC,correct_model,correct_looic,dloo_correct_minus_best,correct_is_best,ordered_beats_DC,WST_beats_SST,SST_beats_WST
SST,8,medium,0.7,0.75,3,5650.203726994677,5645.502632024773,5762.0525296107835,-2825.1018634973366,-2822.7513160123867,-2881.0262648053936,0.010357815442561204,0.010922787193973634,0.019585687382297566,0.3333333333333333,0.3333333333333333,0.3333333333333333,5645.502632024773,SST,SST,5645.502632024773,4.701094969903352,-111.8488026161067,-116.54989758601005,-116.54989758601005,SST,5645.502632024773,0,TRUE,TRUE,FALSE,TRUE
SST,8,medium,0.7,1.5,3,7595.60004350909,7588.290433220007,7759.9089656748665,-3797.800021754543,-3794.1452166100034,-3879.95448283743,0.011676082862523519,0.007156308851224106,0.03389830508474577,0.3333333333333333,0.3333333333333333,0.3333333333333333,7588.290433220007,SST,SST,7588.290433220007,7.309610289083139,-164.3089221657765,-171.61853245485963,-171.61853245485963,SST,7588.290433220007,0,TRUE,TRUE,FALSE,TRUE
SST,8,medium,0.7,3,3,9751.691386679806,9735.77180901477,9825.286458490331,-4875.845693339904,-4867.885904507387,-4912.643229245167,0.0024482109227871966,0.005084745762711861,0.0033898305084745766,0,1,0,9735.77180901477,SST,SST,9735.77180901477,15.919577665035831,-73.59507181052504,-89.51464947556087,-89.51464947556087,SST,9735.77180901477,0,TRUE,TRUE,FALSE,TRUE
SST,8,medium,0.7,6,3,13137.219673907033,13120.6381980207,13343.2668643243,-6568.609836953513,-6560.31909901036,-6671.63343216215,0,0,0,0,1,0,13120.6381980207,SST,SST,13120.6381980207,16.581475886332555,-206.0471904172664,-222.62866630359895,-222.62866630359895,SST,13120.6381980207,0,TRUE,TRUE,FALSE,TRUE
SST,8,strong,1.3,0.75,3,5251.399523480553,5237.9059687777935,5381.043195111487,-2625.6997617402735,-2618.9529843889,-2690.5215975557435,0.012994350282485866,0.016572504708097933,0.04463276836158194,0,1,0,5237.9059687777935,SST,SST,5237.9059687777935,13.493554702759866,-129.64367163093357,-143.13722633369343,-143.13722633369343,SST,5237.9059687777935,0,TRUE,TRUE,FALSE,TRUE
SST,8,strong,1.3,1.5,3,7530.51411494473,7511.520943813247,7543.6398728851,-3765.257057472367,-3755.7604719066235,-3771.81993644255,0.006026365348399234,0.00828625235404897,0.007909604519774011,0.3333333333333333,0.6666666666666666,0,7511.520943813247,SST,SST,7511.520943813247,18.993171131482995,-13.125757940370022,-32.11892907185302,-32.11892907185302,SST,7511.520943813247,0,TRUE,TRUE,FALSE,TRUE
SST,8,strong,1.3,3,3,10226.64642425783,10204.52065291138,10226.030148452333,-5113.323212128913,-5102.26032645569,-5113.015074226163,0.0022598870056497167,5.649717514124299e-4,0.0011299435028248599,0,1,0,10204.52065291138,SST,SST,10204.52065291138,22.125771346449255,0.6162758054961159,-21.50949554095314,-21.50949554095314,SST,10204.52065291138,0,TRUE,TRUE,FALSE,TRUE
SST,8,strong,1.3,6,3,12961.0014262552,12947.781215879368,13177.241721636934,-6480.500713127603,-6473.89060793968,-6588.62086081845,3.766478342749534e-4,1.8832391713747334e-4,0,0.3333333333333333,0.6666666666666666,0,12947.781215879368,SST,SST,12947.781215879368,13.220210375831812,-216.24029538173454,-229.46050575756635,-229.46050575756635,SST,12947.781215879368,0,TRUE,TRUE,FALSE,TRUE
SST,8,weak,0.2,0.75,3,5518.197331020643,5515.814025730827,5598.2528062280735,-2759.09866551032,-2757.9070128654134,-2799.126403114033,0.0047080979284369094,0.004143126177024483,0.0135593220338983,0.6666666666666666,0,0.3333333333333333,5515.814025730827,SST,SST,5515.814025730827,2.383305289816235,-80.05547520743039,-82.43878049724663,-82.43878049724663,SST,5515.814025730827,0,TRUE,TRUE,FALSE,TRUE
SST,8,weak,0.2,1.5,3,7677.213502263507,7663.776995044233,7785.373168937307,-3838.60675113175,-3831.888497522113,-3892.6865844686536,0.01016949152542373,0.00903954802259888,0.0129943502824859,0,1,0,7663.776995044233,SST,SST,7663.776995044233,13.436507219273153,-108.15966667380053,-121.59617389307368,-121.59617389307368,SST,7663.776995044233,0,TRUE,TRUE,FALSE,TRUE
SST,8,weak,0.2,3,3,10587.349698530134,10578.8021298919,10786.4819217858,-5293.67484926507,-5289.401064945967,-5393.2409608929065,5.649717514124299e-4,0.0016949152542372866,0.006403013182674213,0.3333333333333333,0.6666666666666666,0,10578.8021298919,SST,SST,10578.8021298919,8.547568638234225,-199.13222325566676,-207.67979189390098,-207.67979189390098,SST,10578.8021298919,0,TRUE,TRUE,FALSE,TRUE
SST,8,weak,0.2,6,3,13080.290210444,13065.692357495333,13163.699963286066,-6540.145105221996,-6532.846178747666,-6581.849981643037,0,0,0,0,0.6666666666666666,0.3333333333333333,13065.692357495333,SST,SST,13065.692357495333,14.597852948667423,-83.40975284206615,-98.00760579073358,-98.00760579073358,SST,13065.692357495333,0,TRUE,TRUE,FALSE,TRUE
