"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","loo_pointwise_file","rep_id","density"
"SST","WST",4,4,4.32222222222222,"strong",5,9,3,0.01,1,68,"7;8;22;11",5,1,0,-3446.55539509286,46.1197809128301,68.8260219237399,2.98638914233957,6893.11079018573,92.2395618256602,0.0212765957446809,24,1.20547699794993,0.19765298564129,1128,91.793,1002,1,1,1,0,NA,0.998480243161094,1,1,329,0.00107299095999681,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.815457074272302,0.801624129446423,0.829513828950974,270.820171889201,0.000416323880769321,1,1,1,0,NA,0.998480243161094,1,1,329,0.00107299095999681,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.995474544670846,0.982889806777376,0.999556487046504,0.104777894605471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218827849959432,0.218241712991559,0.222714753882504,1066.67777777778,4874.33111111111,329,0.578958204653078,2812,3,"SST",-5.06815429719563,2.04480014847,2.4785572814966,-5.06815429719563,2.04480014847,2.4785572814966,-2.62901645862848,2.06686029131563,1.27198556654984,2.43913783856715,1.43406917557486,1.70085089346502,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep001_SST_clean_SST_K4_kappa_5_strong_seed1001.csv",1,"kappa_5"
"SST","SST",4,4,4,"strong",5,9,3,0.01,1,68,"7;8;22;11",5,1,0,-3441.48724079567,46.3155399834188,59.4049731259884,2.76755624640473,6882.97448159134,92.6310799668377,0,0,0.578716387295499,0.110137623984446,1128,273.077,1003,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.824743509683251,0.812380438346177,0.836289822708285,254.727509589746,0.000368920949181269,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.996878320284201,0.986670020742153,0.999947819288386,0.0725659617903951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218241712991559,0.218241712991559,0.218241712991559,1060,4857,450,0.578958204653078,2812,1,"SST",0,0,NA,-5.06815429719563,2.04480014847,2.4785572814966,-2.62901645862848,2.06686029131563,1.27198556654984,2.43913783856715,1.43406917557486,1.70085089346502,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep001_SST_clean_SST_K4_kappa_5_strong_seed1001.csv",1,"kappa_5"
"SST","DC-SBM",4,4,4,"strong",5,9,3,0.01,1,68,"7;8;22;11",5,1,0,-3443.92637863423,46.3611776313771,62.6773038965325,2.80434290461041,6887.85275726847,92.7223552627543,0,0,0.527179787544416,0.0983994403955266,1128,16.687,1004,1,1,1,0,NA,0.999444444444444,1,1,450,0.000555555555555557,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.825022322162361,0.813083769234926,0.83680300781367,450,0.00029858787519002,1,1,1,0,NA,0.999444444444444,1,1,450,0.000555555555555557,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.996925115115911,0.988980450857853,0.999858933491316,0.0840362847446479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218241712991559,0.218241712991559,0.218241712991559,1060,4857,450,0.578958204653078,2812,2,"SST",-2.43913783856715,1.43406917557486,1.70085089346502,-5.06815429719563,2.04480014847,2.4785572814966,-2.62901645862848,2.06686029131563,1.27198556654984,2.43913783856715,1.43406917557486,1.70085089346502,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep001_SST_clean_SST_K4_kappa_5_strong_seed1001.csv",1,"kappa_5"
"WST","WST",4,4,4.18666666666667,"strong",5,9,1.5,2.25,1,67,"7;8;22;11",5,1,0,-3315.88891720444,43.397797290367,64.2238872497982,2.7154666929778,6631.77783440887,86.795594580734,0.0177304964539007,20,1.18048573413625,0.185226270794804,1128,91.117,1003,1,1,1,0,NA,0.531081081081081,0.5,0.75,313.326358158391,0.00531619178359959,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.860814862938184,0.849960906844558,0.86981472157998,231.499200351495,0.000331307960173608,1,1,1,0,NA,0.531081081081081,0.5,0.75,313.326358158391,0.00531619178359959,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,4,4,4,1,1,1,1,1,1,0,0,0,0.858706443428726,0.813669040028838,0.904552445332339,5.02947826453694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204303654893433,0.203711696158826,0.208756396618232,948.995555555556,4644.84,370,0.670047475183427,3105,2,"DC-SBM",-13.9643484553894,3.70031274860776,3.77382924204002,303.310238314949,22.8903047216959,13.2505985395409,-13.9643484553894,3.70031274860776,3.77382924204002,-317.274586770339,23.4548581668713,13.5270307120626,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep001_WST_hetero_WST_K4_kappa_5_strong_seed1002.csv",1,"kappa_5"
"WST","SST",4,4,4.52666666666667,"strong",5,9,1.5,2.25,1,67,"7;8;22;11",5,1,0,-3619.19915551939,54.490861952767,189.521878535313,8.60074096965829,7238.39831103877,108.981723905534,0.0203900709219858,23,1.60757536902632,0.12576887235386,1128,282.35,1004,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.850415911573944,0.83095022751728,0.897721940632268,235,0.00114424606821672,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,4,4,4,1,1,1,1,1,1,0,0,0,0.998092740680632,0.990710531758127,0.999970992415359,0.0818219854086515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20464303894387,0.203711696158826,0.206690386306159,951.693333333333,4650.40444444444,235,0.670047475183427,3105,3,"DC-SBM",-317.274586770339,23.4548581668713,13.5270307120626,303.310238314949,22.8903047216959,13.2505985395409,-13.9643484553894,3.70031274860776,3.77382924204002,-317.274586770339,23.4548581668713,13.5270307120626,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep001_WST_hetero_WST_K4_kappa_5_strong_seed1002.csv",1,"kappa_5"
"WST","DC-SBM",4,4,4,"strong",5,9,1.5,2.25,1,67,"7;8;22;11",5,1,0,-3301.92456874905,44.1390576098249,60.6203807142154,2.66744775910499,6603.8491374981,88.2781152196498,0,0,0.644937341518666,0.110903972239459,1128,16.213,1005,1,1,1,0,NA,0.5,0.5,0.5,450,0.000786548630305015,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.876159930598474,0.867951450240435,0.884076857584764,867.432958807773,0.000146270423803357,1,1,1,0,NA,0.5,0.5,0.5,450,0.000786548630305015,1,1,1,0,NA,0.5,0.5,0.5,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,4,4,4,1,1,1,1,1,1,0,0,0,0.822806680044119,0.780401267418175,0.879392797022765,13.2630199555484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265429434613725,0.265429434613725,0.265429434613725,1230,4634,450,0.670047475183427,3105,1,"DC-SBM",0,0,NA,303.310238314949,22.8903047216959,13.2505985395409,-13.9643484553894,3.70031274860776,3.77382924204002,-317.274586770339,23.4548581668713,13.5270307120626,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep001_WST_hetero_WST_K4_kappa_5_strong_seed1002.csv",1,"kappa_5"
"SST","WST",4,4,4.21111111111111,"strong",5,9,3,0.01,1,64,"7;8;22;11",5,1,0,-3448.12348422488,46.1988657040831,67.1499640894215,3.01461808506228,6896.24696844977,92.3977314081661,0.0203900709219858,23,1.22640358659309,0.190888439391574,1128,128.333,1006,1,1,1,0,NA,0.99793956043956,1,1,364,0.00118631368631369,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.8146466510357,0.802765192569848,0.825965812912324,364,0.000329131527818932,1,1,1,0,NA,0.99793956043956,1,1,364,0.00118631368631369,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.994699561698065,0.982444104690483,0.999454121955724,0.119906386864105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218650705229817,0.218241712991559,0.222351368425867,1064.49555555556,4868.35333333333,364,0.578958204653078,2812,3,"SST",-6.34728486868107,2.04836678009252,3.09870523695682,-6.34728486868107,2.04836678009252,3.09870523695682,-4.70384586520004,2.18742153388853,2.15040667394277,1.64343900348103,1.43143026597276,1.14810972112861,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep003_SST_clean_SST_K4_kappa_5_strong_seed1005.csv",3,"kappa_5"
"SST","SST",4,4,4,"strong",5,9,3,0.01,1,64,"7;8;22;11",5,1,0,-3441.7761993562,46.3261680719838,59.5726019887989,2.81230107387347,6883.55239871241,92.6523361439675,0,0,0.504264980063126,0.112824961873409,1128,379.823,1007,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.824765151363672,0.814203780488727,0.835502137722304,295.520267270552,0.000321529416782386,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.996832379438747,0.988760348887543,0.999918839234295,0.0732264638101895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218241712991559,0.218241712991559,0.218241712991559,1060,4857,450,0.578958204653078,2812,1,"SST",0,0,NA,-6.34728486868107,2.04836678009252,3.09870523695682,-4.70384586520004,2.18742153388853,2.15040667394277,1.64343900348103,1.43143026597276,1.14810972112861,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep003_SST_clean_SST_K4_kappa_5_strong_seed1005.csv",3,"kappa_5"
"SST","DC-SBM",4,4,4,"strong",5,9,3,0.01,1,64,"7;8;22;11",5,1,0,-3443.41963835968,46.3765396479404,62.2023472599274,2.82880841365073,6886.83927671937,92.7530792958809,0,0,0.638623460090866,0.10392761979053,1128,24.3380000000001,1008,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.825228721482275,0.813483533536871,0.836864124874227,450,0.000292624187605921,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.997330172098544,0.989167064973215,0.999850982714465,0.0746120623702368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218241712991559,0.218241712991559,0.218241712991559,1060,4857,450,0.578958204653078,2812,2,"SST",-1.64343900348103,1.43143026597276,1.14810972112861,-6.34728486868107,2.04836678009252,3.09870523695682,-4.70384586520004,2.18742153388853,2.15040667394277,1.64343900348103,1.43143026597276,1.14810972112861,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep003_SST_clean_SST_K4_kappa_5_strong_seed1005.csv",3,"kappa_5"
"SST","WST",4,4,4.29111111111111,"strong",5,9,3,0.01,1,66,"7;8;22;11",5,1,0,-3448.33129519944,46.2360201888615,69.791694508258,3.12194684720487,6896.66259039888,92.472040377723,0.0265957446808511,30,1.42367443282518,0.200086706932939,1128,129.036,1004,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.81513653150879,0.802913772925418,0.827097500506805,234.361898510977,0.000418607682099517,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.995813557780699,0.986824141416586,0.999606270183261,0.0991443049667704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218799862286417,0.218241712991559,0.22258472684786,1066.13555555556,4872.49777777778,334,0.578958204653078,2812,3,"SST",-6.22908310154162,2.09570421465184,2.97231024206173,-6.22908310154162,2.09570421465184,2.97231024206173,-5.49831502777397,2.13216270039887,2.57875021767588,0.730768073767649,1.48260461278923,0.492894779541293,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep002_SST_clean_SST_K4_kappa_5_strong_seed1003.csv",2,"kappa_5"
"SST","SST",4,4,4,"strong",5,9,3,0.01,1,66,"7;8;22;11",5,1,0,-3442.1022120979,46.3526812762988,59.9367024286444,2.8329354030106,6884.2044241958,92.7053625525975,0,0,0.592680641463478,0.103711982271376,1128,379.865,1005,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.825049972279025,0.814360140113937,0.836321205850361,153.469920413457,0.00044798494057397,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.99703239280631,0.988038771632516,0.999938946058848,0.0691695552847963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218241712991559,0.218241712991559,0.218241712991559,1060,4857,450,0.578958204653078,2812,1,"SST",0,0,NA,-6.22908310154162,2.09570421465184,2.97231024206173,-5.49831502777397,2.13216270039887,2.57875021767588,0.730768073767649,1.48260461278923,0.492894779541293,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep002_SST_clean_SST_K4_kappa_5_strong_seed1003.csv",2,"kappa_5"
"SST","DC-SBM",4,4,4,"strong",5,9,3,0.01,1,66,"7;8;22;11",5,1,0,-3442.83298017167,46.3769633781118,61.5074861662808,2.74395050689516,6885.66596034333,92.7539267562236,0,0,0.689215680018004,0.0966284820925319,1128,24.283,1006,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.824999049870925,0.811827677245153,0.836742305930978,450,0.000290856217910576,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,4,4,3,1,1,0.75,1,1,1,0,0,0,0.997451068205994,0.990959092327268,0.999840446752208,0.0723117128504242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218241712991559,0.218241712991559,0.218241712991559,1060,4857,450,0.578958204653078,2812,2,"SST",-0.730768073767649,1.48260461278923,0.492894779541293,-6.22908310154162,2.09570421465184,2.97231024206173,-5.49831502777397,2.13216270039887,2.57875021767588,0.730768073767649,1.48260461278923,0.492894779541293,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_093726/loo_pointwise/loo_pointwise_rep002_SST_clean_SST_K4_kappa_5_strong_seed1003.csv",2,"kappa_5"
