"dataset","fit_model","metric","new_value","existing_value","diff","matches_existing"
"moreno_sheep","DCSBM","p_prior_wst",0.05885,0.2235,-0.16465,FALSE
"strauss_2019b","DCSBM","p_prior_wst",0.009,0.0475,-0.0385,FALSE
"mountain_goats","DCSBM","p_prior_wst",0.2487,0.541,-0.2923,FALSE
"citations_data","DCSBM","p_prior_wst",0,0,0,TRUE
"macaques_data","DCSBM","p_prior_wst",0,0,0,TRUE
"high_school","DCSBM","p_prior_wst",0,0,0,TRUE
"moreno_sheep","DCSBM","bf_wst_0",4.6961161549666,2.24919185813214,2.44692429683446,FALSE
"strauss_2019b","DCSBM","bf_wst_0",9.15715483330108,5.64498885053608,3.512165982765,FALSE
"mountain_goats","DCSBM","bf_wst_0",4.02090872537193,1.84842883548983,2.1724798898821,FALSE
"citations_data","DCSBM","bf_wst_0",,Inf,,FALSE
"macaques_data","DCSBM","bf_wst_0",Inf,Inf,,TRUE
"high_school","DCSBM","bf_wst_0",,,,TRUE
"moreno_sheep","DCSBM","p_post_sst",0,0,0,TRUE
"strauss_2019b","DCSBM","p_post_sst",0,0,0,TRUE
"mountain_goats","DCSBM","p_post_sst",0.0324773413897281,0.0324773413897281,0,TRUE
"citations_data","DCSBM","p_post_sst",0,0,0,TRUE
"macaques_data","DCSBM","p_post_sst",0,0,0,TRUE
"high_school","DCSBM","p_post_sst",0,0,0,TRUE
"moreno_sheep","DCSBM","p_prior_sst",0,0.0025,-0.0025,FALSE
"strauss_2019b","DCSBM","p_prior_sst",0,0,0,TRUE
"mountain_goats","DCSBM","p_prior_sst",0.009,0.089,-0.08,FALSE
"citations_data","DCSBM","p_prior_sst",0,0,0,TRUE
"macaques_data","DCSBM","p_prior_sst",0,0,0,TRUE
"high_school","DCSBM","p_prior_sst",0,0,0,TRUE
"moreno_sheep","DCSBM","bf_sst_0",,0,,FALSE
"strauss_2019b","DCSBM","bf_sst_0",,,,TRUE
"mountain_goats","DCSBM","bf_sst_0",3.60859348774756,0.364913948199192,3.24367953954837,FALSE
"citations_data","DCSBM","bf_sst_0",,,,TRUE
"macaques_data","DCSBM","bf_sst_0",,,,TRUE
"high_school","DCSBM","bf_sst_0",,,,TRUE
