"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","sigma0","tau0","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","loo_pointwise_file","rep_id","density"
"WST","WST",8,4,5.56266666666667,"app_sparse",0.25,0.0225,2.5,0.16,2.1959442631574,495,"4;6;3;11;8;9;17;6",0.25,0.605386783589101,1.4503822946085,-1657.77922121265,48.4453244780288,141.299933991096,7.09152062717302,3315.5584424253,96.8906489560576,0.0138888888888889,28,1.18344664374099,0.214568517468653,2016,62.518,1003,1.5,0.5,0.75,13,1,1,1,0,NA,0.223684210526316,0,0.65,36.7292588991179,0.0387315191199058,1,1,1,0,NA,0.223684210526316,0,0.65,32.3495427582798,0.0283940018617402,0.91374269005848,0.666666666666667,1,57,0.0179397003103529,0.619883040935672,0.25,1,57,0.0280648447667434,0.880682697205651,0.828898616048482,0.918541482348308,61.7149697833418,0.00291581598330223,1,1,1,0,NA,0.223684210526316,0,0.65,36.7292588991179,0.0387315191199058,1,1,1,0,NA,0.223684210526316,0,0.65,32.3495427582798,0.0283940018617402,0.868421052631579,0.5,1,57,0.02432135198774,0.583333333333333,0.25,1,57,0.0282181056602133,4,4,3.7719298245614,1,1,0.942982456140351,1,1,1,0,0,0,0.763786285994519,0.654341603289334,0.896979184695461,10.4684963943688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116851491417934,0.091199827023627,0.150051948158612,52.752,448.608,57,0.270983213429257,113,2,"DC-SBM",-14.7685408361558,2.85398665546708,5.17470563776649,7.53397647297038,4.2233384653177,1.78389123553317,-14.7685408361558,2.85398665546708,5.17470563776649,-22.3025173091262,5.59573963118791,3.98562456066091,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv",1,"kappa_0.25"
"WST","SST",8,4,5.62666666666667,"app_sparse",0.25,0.0225,2.5,0.16,2.1959442631574,495,"4;6;3;11;8;9;17;6",0.25,0.605386783589101,1.32033800123336,-1665.31319768562,49.1269277704831,149.118392293464,7.66644688321857,3330.62639537124,98.2538555409663,0.0223214285714286,45,1.28478422787135,0.208238878003726,2016,171.296,1004,1.5,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.345588235294118,0,0.75,43.3481688664896,0.0365442453657681,0.966911764705882,0.75,1,68,0.0103500144268776,0.611519607843137,0.25,1,36.1938159245393,0.0369678124166929,0.904387531078316,0.874054543054141,0.925040403844353,68,0.00173909205500167,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.345588235294118,0,0.75,43.3481688664896,0.0365442453657681,0.926470588235294,0.75,1,68,0.0148695892408466,0.588235294117647,0.25,1,35.5107756412446,0.0381930256526219,4,4,3.83823529411765,1,1,0.959558823529412,1,1,1,0,0,0,0.908556625910274,0.85397014061805,0.965815559384251,3.07023855644214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106408906404804,0.0916209805665615,0.125070417867913,47.112,442.077333333333,68,0.252380952380952,106,3,"DC-SBM",-22.3025173091262,5.59573963118791,3.98562456066091,7.53397647297038,4.2233384653177,1.78389123553317,-14.7685408361558,2.85398665546708,5.17470563776649,-22.3025173091262,5.59573963118791,3.98562456066091,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv",1,"kappa_0.25"
"WST","DC-SBM",8,4,4.48,"app_sparse",0.25,0.0225,2.5,0.16,2.1959442631574,495,"4;6;3;11;8;9;17;6",0.25,0.605386783589101,1.4503822946085,-1643.01068037649,47.2540328172535,112.547169558104,5.58972907133822,3286.02136075299,94.508065634507,0.09375,189,1.78894068996952,0.300544556475246,2016,21.156,1005,1.5,0.5,0.75,13,0.997747747747748,1,1,222,0.00225225225225225,0.190315315315315,0,0.5,424.180866307773,0.00946415999117897,1,1,1,0,NA,0.218468468468468,0,0.5,222,0.00752650701459026,0.901651651651652,0.666666666666667,1,178.177087797921,0.00992709291866077,0.623123123123123,0.13125,1,222,0.0151491939260772,0.893844925274694,0.852863710923389,0.924404352648057,175.970128135377,0.00151754909007364,0.997747747747748,1,1,222,0.00225225225225225,0.190315315315315,0,0.5,424.180866307773,0.00946415999117897,1,1,1,0,NA,0.218468468468468,0,0.5,222,0.00752650701459026,0.870495495495496,0.5,1,222,0.0109095225201218,0.599099099099099,0.13125,1,222,0.0151896278270037,4,4,3.84684684684685,1,1,0.961711711711712,0.997747747747748,1,1,0.00852585706798754,0.000232040463996936,1.82709013843312e-05,0.761425976997215,0.666336374337163,0.885872116334073,14.7374211546506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102151575459223,0.0880952380952381,0.131067196640168,44.1146666666667,430.365333333333,222,0.270983213429257,113,1,"DC-SBM",0,0,NA,7.53397647297038,4.2233384653177,1.78389123553317,-14.7685408361558,2.85398665546708,5.17470563776649,-22.3025173091262,5.59573963118791,3.98562456066091,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv",1,"kappa_0.25"
"SST","WST",8,7,7.352,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,140,"3;4;17;5;3;20;4;8",0.25,0.688633852514524,1.39345739506975,-1732.83355515636,51.4466555375311,180.329005681694,8.86923649973014,3465.66711031273,102.893311075062,0.0143849206349206,29,0.880398917979756,0.247601352065839,2016,84.323,1002,1.5,0.5,0.75,13,1,1,1,0,NA,0.396648178210678,0.2,0.631547619047619,96,0.0125312547337402,0.971742134711493,0.842830882352941,1,96,0.00457880597246401,0.387037468190581,0.175659937888199,0.571428571428571,96,0.0102863766153639,0.948800712923653,0.868279569892473,1,96,0.0040114654315621,0.699123923681813,0.517045454545455,0.83117816091954,96,0.00834462196468338,0.735907574766625,0.680235662711676,0.793127799872044,53.6977097835241,0.00408081037186418,0.841071428571429,0.582142857142857,1,96,0.0122614180987201,0.339285714285714,0.142857142857143,0.617857142857143,96,0.0128839180960849,0.764880952380952,0.45,1,96,0.0172463416144131,0.306547619047619,0.114285714285714,0.532142857142857,137.331015453738,0.0091531244782695,0.80297619047619,0.667857142857143,0.903571428571428,78.2984028138097,0.00700369493442984,0.592261904761905,0.428571428571429,0.742857142857143,96,0.00849884858428616,29.4375,27.4479166666667,29.625,0.841071428571429,0.78422619047619,0.846428571428571,1,1,1,0,0,0,0.780644631544114,0.617413459139738,0.914240981719645,3.69292633702514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234417232750413,0.197221804511278,0.267802413696323,102.594666666667,435.850666666667,96,0.554502369668246,234,2,"SST",-4.74865501716408,4.07757590002222,1.16457795847239,-4.74865501716408,4.07757590002222,1.16457795847239,38.8313253904764,7.48332401478761,5.18904771646167,43.5799804076405,9.18930198809731,4.74246906501589,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv",1,"kappa_0.25"
"SST","SST",8,6,6.95733333333333,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,140,"3;4;17;5;3;20;4;8",0.25,0.742176972600689,1.508111548167,-1728.0849001392,51.7407952002141,166.139640257988,8.36464777712042,3456.1698002784,103.481590400428,0.0143849206349206,29,1.13461239239025,0.225293963991917,2016,184.116,1003,1.5,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,0.999450247388675,1,1,107,0.000549752611324905,0.439543952016464,0.2325,0.7,70.6735493102247,0.0131830623850193,0.954203397213944,0.866666666666667,1,70.9878493955246,0.00574075015566774,0.720372954664135,0.489705882352941,0.89093567251462,107,0.0102665467194272,0.815701930067214,0.762206203082546,0.866579988529044,39.7761827813961,0.00502856491728833,1,1,1,0,NA,1,1,1,0,NA,0.926168224299065,0.7475,1,107,0.0102073761711123,0.40981308411215,0.2,0.6675,54.0704135423374,0.0164035197106122,0.811214953271028,0.65,0.95,107,0.00816717226957192,0.613084112149533,0.4,0.8175,99.3352774905989,0.0110327936737489,20,18.5327102803738,17.0093457943925,1,0.926635514018692,0.850467289719626,1,1,1,0,0,0,0.973358010493137,0.924802330845705,0.997372478892822,0.440024720787904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227583119983008,0.198663653243806,0.261833839918946,99.0773333333333,433.714666666667,107,0.5575,223,1,"SST",0,0,NA,-4.74865501716408,4.07757590002222,1.16457795847239,38.8313253904764,7.48332401478761,5.18904771646167,43.5799804076405,9.18930198809731,4.74246906501589,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv",1,"kappa_0.25"
"SST","DC-SBM",8,4,3.90933333333333,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,140,"3;4;17;5;3;20;4;8",0.25,0.84706565950029,2.3083148964153,-1771.66488054684,51.1666320087655,137.514951658996,6.95185006640953,3543.32976109368,102.333264017531,0.0545634920634921,110,1.31870690367713,0.245251937285637,2016,16.007,1004,1.5,0.5,0.75,13,0.847474747474747,0.5,1,165,0.0187043391962215,0.246969696969697,0,0.75,165,0.0190478540138382,0.901785714285714,0.5,1,168,0.014780815058309,0.201388888888889,0,0.706249999999997,168,0.0167599191559492,0.939349112426035,0.533333333333333,1,209.711081029564,0.0100014411852089,0.682938856015779,0,1,169,0.0204305971238856,0.727649381148495,0.552650997438901,0.849365556485248,169,0.00583216441215895,0.687869822485207,0,1,169,0.0257650160131584,0.226331360946746,0,0.75,146.909241049261,0.0193910981578876,0.760355029585799,0.25,1,132.258549271903,0.0269761611986784,0.18491124260355,0,0.5,169,0.0148771901156366,0.813609467455621,0.3,1,84.2956902391028,0.0226319729518597,0.60207100591716,0,1,169,0.0200615205783416,3.20710059171598,3.31952662721894,3.43786982248521,0.801775147928994,0.829881656804734,0.859467455621302,0.83284023668639,0.5,1,0.667707663210053,0.439863751371247,0.054431093658661,0.772556487307279,0.250121411278056,0.978764478495762,6.40098862744715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201480061424631,0.157772118468214,0.263362748187835,59.7306666666667,294.853333333333,169,0.508474576271186,150,3,"SST",-43.5799804076405,9.18930198809731,4.74246906501589,-4.74865501716408,4.07757590002222,1.16457795847239,38.8313253904764,7.48332401478761,5.18904771646167,43.5799804076405,9.18930198809731,4.74246906501589,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv",1,"kappa_0.25"
"SST","WST",8,3,4.872,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,16,"3;4;3;4;4;26;9;11",0.25,0.44,2.27709494046112,-1127.90316840966,47.501559883796,125.894257275661,7.61824993573583,2255.80633681932,95.0031197675919,0.0064484126984127,13,0.870646627675831,0.242670595360117,2016,112.676,1004,1.5,0.5,0.75,13,1,1,1,0,NA,0.5,0,1,36,0.0845154254728517,1,1,1,0,NA,0.529411764705882,0,1,34,0.086888111279529,1,1,1,0,NA,0.742857142857143,0,1,35,0.0749549684738748,0.741734971766679,0.596531142665855,0.847349940536907,38,0.0105311874114901,0.947368421052632,0,1,38,0.0367097806559429,0.473684210526316,0,1,38,0.0820855649857952,0.894736842105263,0,1,38,0.0504527677125695,0.473684210526316,0,1,38,0.0820855649857953,0.921052631578947,0,1,38,0.0443312718129372,0.68421052631579,0,1,230.168505740137,0.0310500059354135,0.947368421052632,0.894736842105263,0.921052631578947,0.947368421052632,0.894736842105263,0.921052631578947,1,1,1,0,0,0,0.936104468560389,0.766415377976735,0.99999946795827,1.76888594130613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237818237417235,0.185781558559927,0.29073719600481,59.984,251.213333333333,38,0.771144278606965,155,1,"WST",0,0,NA,3.04242335519393,1.90608290307954,1.59616528235916,42.4087121362145,5.9297092927648,7.15190408878222,39.3662887810206,6.44873566500326,6.1044971954205,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep002_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1003.csv",2,"kappa_0.25"
"SST","SST",8,2,4.704,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,16,"3;4;3;4;4;26;9;11",0.25,0.580995136550692,2.33387797988445,-1130.94559176486,47.7055397193111,129.046355435701,7.77686426518123,2261.89118352971,95.4110794386223,0.00297619047619048,6,0.943400615885764,0.218798263489272,2016,254.124,1005,1.5,0.5,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222647204112826,0.159865134865135,0.278435338640219,55.0053333333333,243.802666666667,12,0.811764705882353,138,2,"WST",-3.04242335519393,1.90608290307954,1.59616528235916,3.04242335519393,1.90608290307954,1.59616528235916,42.4087121362145,5.9297092927648,7.15190408878222,39.3662887810206,6.44873566500326,6.1044971954205,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep002_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1003.csv",2,"kappa_0.25"
"SST","DC-SBM",8,2,3.17866666666667,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,16,"3;4;3;4;4;26;9;11",0.25,0.580995136550692,2.25689224635642,-1170.31188054588,46.9212098239252,131.274419886795,7.4816629571179,2340.62376109175,93.8424196478504,0.281746031746032,568,2.82015771826796,0.538905659002484,2016,37.508,1006,1.5,0.5,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238410972538662,0.181080195933246,0.27337962962963,51.672,215.818666666667,105,0.775,155,3,"WST",-42.4087121362145,5.9297092927648,7.15190408878222,3.04242335519393,1.90608290307954,1.59616528235916,42.4087121362145,5.9297092927648,7.15190408878222,39.3662887810206,6.44873566500326,6.1044971954205,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep002_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1003.csv",2,"kappa_0.25"
"WST","WST",8,4,5.32,"app_sparse",0.25,0.0225,2.5,0.16,2.1959442631574,654,"4;5;3;3;6;13;3;27",0.25,0.457481162540366,1.65735749928543,-1132.58250848931,45.77919907611,133.978174976774,8.87021719137784,2265.16501697862,91.5583981522199,0.00744047619047619,15,0.912830681629912,0.219952805449513,2016,121.36,1007,1.5,0.5,0.75,13,1,1,1,0,NA,0.292253521126761,0,0.75,71,0.0309092246478935,1,1,1,0,NA,0.345070422535211,0,0.75,71,0.0280871546998313,0.985915492957746,0.75,1,71,0.00688969564115249,0.679577464788732,0.25,1,125.133007518388,0.0223717642332019,0.850246980118207,0.706679612412865,0.914971692164523,71,0.00568001847383143,0.936619718309859,0.5,1,71.0000000000001,0.0198829003122744,0.288732394366197,0,0.75,71,0.0307713901834402,0.97887323943662,0.5,1,40.5029968387051,0.0159170769056397,0.345070422535211,0,0.75,71,0.0280871546998313,0.957746478873239,0.75,1,71,0.0122699305006544,0.661971830985915,0.25,1,121.40512765831,0.0230426593894463,3.74647887323944,3.91549295774648,3.88732394366197,0.936619718309859,0.97887323943662,0.971830985915493,1,1,1,0,0,0,0.816662984067751,0.686388769254912,0.9480089794525,6.91264036825849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086834696781615,0.0616366265635016,0.117897782063645,24.8933333333333,285.333333333333,71,0.288389513108614,77,2,"SST",-3.43684606202601,4.13312011015989,0.831537910930213,-3.43684606202601,4.13312011015989,0.831537910930213,26.1420201911449,2.95458391390667,8.84795319845183,29.5788662531709,4.60494918584482,6.42327744768466,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep003_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1006.csv",3,"kappa_0.25"
"WST","SST",8,3,5.56266666666667,"app_sparse",0.25,0.0225,2.5,0.16,2.1959442631574,654,"4;5;3;3;6;13;3;27",0.25,0.598923794005078,1.39804591598063,-1129.14566242728,46.0805030508233,137.83466899394,9.21769406923587,2258.29132485457,92.1610061016465,0.0124007936507937,25,1.21544204058985,0.226481837314216,2016,293.594,1008,1.5,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.2,0,0.9,5,0.2,1,1,1,0,NA,0.5,0,1,18.6666666666667,0.133630620956212,0.939707712135851,0.923995675057333,0.960502907842597,5,0.00788831256693393,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.2,0,0.9,5,0.2,0.8,0.1,1,5,0.2,0.4,0,1,5,0.244948974278318,1,1,0.8,1,1,0.8,1,1,1,0,0,0,0.915713318211947,0.901074364447845,0.939583263063944,5.82976700824898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0669152431758231,0.0487051340299864,0.0924077578051088,18.5653333333333,275.714666666667,5,0.287937743190661,74,1,"SST",0,0,NA,-3.43684606202601,4.13312011015989,0.831537910930213,26.1420201911449,2.95458391390667,8.84795319845183,29.5788662531709,4.60494918584482,6.42327744768466,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep003_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1006.csv",3,"kappa_0.25"
"WST","DC-SBM",8,3,3.624,"app_sparse",0.25,0.0225,2.5,0.16,2.1959442631574,654,"4;5;3;3;6;13;3;27",0.25,0.598923794005078,1.75541235930241,-1158.72452868045,45.669299090484,132.940825335179,8.30289756009367,2317.44905736091,91.3385981809681,0.248511904761905,501,2.0829335191788,0.45998497394828,2016,40.869,1009,1.5,0.5,0.75,13,1,1,1,0,NA,0.21256038647343,0,1,87.5700465186299,0.0438251657523633,1,1,1,0,NA,0.140096618357488,0,1,109.207931970135,0.0332937815468342,1,1,1,0,NA,0.52,0,1,200,0.0354156936510345,0.908659693607106,0.857940081496936,0.948692158696179,162.507964428193,0.00184704199910174,1,1,1,0,NA,0.21256038647343,0,1,87.5700465186299,0.0438251657523633,1,1,1,0,NA,0.140096618357488,0,1,109.207931970135,0.0332937815468342,0.966183574879227,0,1,207,0.0125938948286643,0.502415458937198,0,1,207,0.0348362442073815,1,1,0.966183574879227,1,1,0.966183574879227,1,1,1,0,0,0,0.864650685488308,0.750721235213913,0.996431274938566,9.49885581967172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0892180947141736,0.0576923076923077,0.266805959302326,23.736,265.96,207,0.288389513108614,77,3,"SST",-29.5788662531709,4.60494918584482,6.42327744768466,-3.43684606202601,4.13312011015989,0.831537910930213,26.1420201911449,2.95458391390667,8.84795319845183,29.5788662531709,4.60494918584482,6.42327744768466,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep003_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1006.csv",3,"kappa_0.25"
"SST","WST",8,4,6.32,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,2985,"3;3;4;10;3;20;11;10",0.25,0.474462340564193,2.20643178946287,-1440.35276474751,50.6832133179126,162.118006743476,8.52953379210748,2880.70552949502,101.366426635825,0.0109126984126984,22,0.934729667068989,0.243239503876025,2016,159.728,1008,1.5,0.5,0.75,13,1,1,1,0,NA,0.392857142857143,0.16875,0.5,6.54285594777298,0.055978501942772,1,1,1,0,NA,0.464285714285714,0.25,0.75,28,0.0247817380888825,0.991071428571429,0.91875,1,28,0.00892857142857143,0.714285714285714,0.30625,1,248.783447500826,0.0150420314942687,0.789850360667679,0.683197119961091,0.848539103470756,28,0.00801030839958324,0.982142857142857,0.8375,1,28,0.0178571428571429,0.383928571428571,0.16875,0.5,8.47335376517238,0.0494866781533449,1,1,1,0,NA,0.464285714285714,0.25,0.75,28,0.0247817380888825,0.901785714285714,0.66875,1,28,0.0267857142857143,0.642857142857143,0.25,1,121.45597419929,0.018957742991393,3.92857142857143,4,3.64285714285714,0.982142857142857,1,0.910714285714286,1,1,1,0,0,0,0.869389918661437,0.694936685772287,0.976076608622855,5.27396180699761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230939819161294,0.208551529116045,0.263443876101165,93.1093333333333,402.768,28,0.278772378516624,109,2,"SST",-0.779700834259984,3.07566599873874,0.253506341254129,-0.779700834259984,3.07566599873874,0.253506341254129,58.8691023577996,5.79959838073517,10.1505481057703,59.6488031920596,5.95946915666167,10.0090799405149,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep004_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1007.csv",4,"kappa_0.25"
"SST","SST",8,4,5.904,"app_sparse",0.25,0.0225,3,0.01,2.1959442631574,2985,"3;3;4;10;3;20;11;10",0.25,0.474462340564193,2.21689183055844,-1439.57306391325,50.995327996855,153.080427045237,8.25223086397686,2879.1461278265,101.99065599371,0.0104166666666667,21,1.03257590359848,0.227126567195454,2016,331.539,1009,1.5,0.5,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.473958333333333,0.25,0.706249999999999,70.8913630147986,0.01529985126608,0.989583333333333,0.79375,1,47.9999999999999,0.00728691587888901,0.737847222222222,0.29375,1,98.951112780039,0.0191649921916526,0.81785296309914,0.776445078602537,0.871812714647482,28.2376475828575,0.00510325277736529,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.473958333333333,0.25,0.706249999999999,70.8913630147986,0.01529985126608,0.9375,0.54375,1,48,0.018977637082099,0.692708333333333,0.29375,1,195.866545812891,0.01340797230048,4,4,3.79166666666667,1,1,0.947916666666667,1,1,1,0,0,0,0.955696972052185,0.881707004652581,0.996195977627743,0.715186361621547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223508167206384,0.201333746898263,0.247039074622655,88.8346666666667,396.813333333333,48,0.26972010178117,106,1,"SST",0,0,NA,-0.779700834259984,3.07566599873874,0.253506341254129,58.8691023577996,5.79959838073517,10.1505481057703,59.6488031920596,5.95946915666167,10.0090799405149,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_165336/loo_pointwise/loo_pointwise_rep004_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1007.csv",4,"kappa_0.25"
