"gen_model","fit_model","K_target","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","hyper_source","mu0","sigma0","tau0","a_kappa_prior","b_kappa_prior","a_eta_prior","b_eta_prior","gamma_gn_prior","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","rep_id","kappa_sd","density","eta_mean","eta_sd","eta_mode"
"WST","WST",NA,11,1,3.82,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;3;2;1;8;1;2;21;9;11;1",0.8,NA,2.71394682563338,-2837.29841829218,47.0023957048471,117.487409295773,4.22074919033456,5674.59683658437,94.0047914096941,0.0124293785310734,22,1.44735077089575,0.22245550037859,1770,309.577,1004,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364460713143215,0.306122448979592,0.419018109790606,229.957230142566,620.062118126273,18,NA,NA,1,"WST",0,0,NA,0.369693821664441,0.872428308328552,0.42375266613336,3.71463542082665,4.87764104013781,0.761563917938845,3.34494159916221,4.83543694490239,0.691755809718192,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","SST",NA,11,1,3.445,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;3;2;1;8;1;2;21;9;11;1",0.8,NA,2.71394682563338,-2837.66811211385,47.0225119539099,110.550954001439,3.79466688630126,5675.3362242277,94.0450239078197,0.00451977401129944,8,1.03194153952087,0.1976363080502,1770,999.676,1005,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361928071394346,0.284029988272743,0.417563973437101,217.959669079628,586.24095139607,33,NA,NA,2,"WST",-0.369693821664441,0.872428308328552,0.42375266613336,0.369693821664441,0.872428308328552,0.42375266613336,3.71463542082665,4.87764104013781,0.761563917938845,3.34494159916221,4.83543694490239,0.691755809718192,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","DC-SBM",NA,11,1,1,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;3;2;1;8;1;2;21;9;11;1",0.8,NA,2.71394682563338,-2841.01305371301,46.8931553053044,57.4642638285142,2.20618471937485,5682.02610742602,93.7863106106089,0,0,0.642259639759244,0.0753226850871338,1770,41.1800000000001,1006,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,3,"WST",-3.71463542082665,4.87764104013781,0.761563917938845,0.369693821664441,0.872428308328552,0.42375266613336,3.71463542082665,4.87764104013781,0.761563917938845,3.34494159916221,4.83543694490239,0.691755809718192,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","WST",NA,9,1,3.878,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;10;1;5;2;14;12;3;12",0.8,NA,2.72479263141538,-2856.97951418063,51.3284576297791,124.279570295451,5.49854214820991,5713.95902836126,102.656915259558,0.0141242937853107,25,1.00705342929127,0.264530822204506,1770,329.808,1002,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442708011034319,0.343257142857143,0.505210309930424,247.666310160428,550.022459893048,65,NA,NA,3,"DC-SBM",-17.2655116258038,6.10188609918684,2.82953685879267,-1.75678732465212,1.73624256826324,1.01183288370209,-17.2655116258038,6.10188609918684,2.82953685879267,-15.5087243011517,5.03283558233176,3.08150823674759,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","SST",NA,9,1,4.411,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;10;1;5;2;14;12;3;12",0.8,NA,2.72479263141538,-2855.22272685598,51.2995734545486,138.785044806899,5.7274585040478,5710.44545371196,102.599146909097,0.00677966101694915,12,0.961470312018215,0.251596892058183,1770,1004.466,1003,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455055885018515,0.354873964392738,0.506374044018006,298.638341968912,645.986528497409,35,NA,NA,2,"DC-SBM",-15.5087243011517,5.03283558233176,3.08150823674759,-1.75678732465212,1.73624256826324,1.01183288370209,-17.2655116258038,6.10188609918684,2.82953685879267,-15.5087243011517,5.03283558233176,3.08150823674759,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","DC-SBM",NA,9,2,2.126,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;10;1;5;2;14;12;3;12",0.8,0.897122929380994,2.29927843572388,-2839.71400255483,50.5846353648609,106.077462443121,4.63000333537246,5679.42800510965,101.169270729722,0.0361581920903955,64,1.56141408493109,0.183771902377565,1770,59.673,1004,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501036552799836,0.481008414569087,0.517014237388945,259.683,518.276,882,0.49498997995992,247,1,"DC-SBM",0,0,NA,-1.75678732465212,1.73624256826324,1.01183288370209,-17.2655116258038,6.10188609918684,2.82953685879267,-15.5087243011517,5.03283558233176,3.08150823674759,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","WST",NA,12,1,4.167,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;1;1;3;3;6;6;4;2;5;13;15",0.8,NA,3.09275658298553,-3037.39299160115,51.9574440934905,156.422156839373,7.24073824305042,6074.78598320229,103.914888186981,0.0135593220338983,24,0.961674756705769,0.237835697497155,1770,342.689,1008,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395007434746271,0.351837324122319,0.477170760580053,307.142255005269,780.956796628029,51,NA,NA,1,"WST",0,0,NA,7.17758216643415,2.61650934786425,2.74318995737314,6.81945800584708,6.13698769093218,1.11120607524165,-0.358124160587067,4.25269590117621,0.0842110907784442,2,0.35,"sparse",1,0.1,"GAMMA"
"WST","SST",NA,12,1,3.382,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;1;1;3;3;6;6;4;2;5;13;15",0.8,NA,3.09275658298553,-3044.57057376758,52.254806004717,131.750444659354,6.28093760018729,6089.14114753516,104.509612009434,0.00903954802259887,16,0.944855533139304,0.236852548298064,1770,1015.529,1009,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403237158287647,0.347162639581099,0.490832206855915,264.980920314254,654.755331088664,109,NA,NA,3,"WST",-7.17758216643415,2.61650934786425,2.74318995737314,7.17758216643415,2.61650934786425,2.74318995737314,6.81945800584708,6.13698769093218,1.11120607524165,-0.358124160587067,4.25269590117621,0.0842110907784442,2,0.35,"sparse",1,0.1,"GAMMA"
"WST","DC-SBM",NA,12,1,1,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;1;1;3;3;6;6;4;2;5;13;15",0.8,NA,3.09275658298553,-3044.21244960699,52.3776200328197,64.7751251830687,3.27615915518965,6088.42489921399,104.755240065639,0.000564971751412429,1,0.740760519084325,0.0727351265933804,1770,38.1869999999999,1010,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,2,"WST",-6.81945800584708,6.13698769093218,1.11120607524165,7.17758216643415,2.61650934786425,2.74318995737314,6.81945800584708,6.13698769093218,1.11120607524165,-0.358124160587067,4.25269590117621,0.0842110907784442,2,0.35,"sparse",1,0.1,"GAMMA"
"SST","WST",NA,14,1,4.075,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;1;2;4;3;5;6;7;9;12;2;4;2;2",0.8,NA,3.45564622132577,-2967.5976015885,49.334964514943,133.071547653901,5.98926798708956,5935.19520317699,98.6699290298859,0.027683615819209,49,1.1778402560053,0.276238540361849,1770,337.773,1018,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422374321622872,0.317635990420801,0.487364548494983,290.633919338159,680.039296794209,33,NA,NA,3,"DC-SBM",-2.8109487438046,3.16007899723021,0.889518504527381,-0.502526639225835,1.24046069525911,0.405112907765986,-2.8109487438046,3.16007899723021,0.889518504527381,-2.30842210457877,3.63204394488586,0.635571083281954,5,0.35,"sparse",1,0.1,"GAMMA"
"SST","SST",NA,14,1,4.158,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;1;2;4;3;5;6;7;9;12;2;4;2;2",0.8,NA,3.45564622132577,-2967.09507494927,49.4238994236086,130.383099941424,5.72331683892384,5934.19014989854,98.8477988472171,0.0141242937853107,25,1.18502734204425,0.25953248599399,1770,1114.538,1019,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427152147616409,0.305602716468591,0.480346282005227,302.947476828012,697.92070030896,29,NA,NA,2,"DC-SBM",-2.30842210457877,3.63204394488586,0.635571083281954,-0.502526639225835,1.24046069525911,0.405112907765986,-2.8109487438046,3.16007899723021,0.889518504527381,-2.30842210457877,3.63204394488586,0.635571083281954,5,0.35,"sparse",1,0.1,"GAMMA"
"SST","DC-SBM",NA,14,1,1,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;1;2;4;3;5;6;7;9;12;2;4;2;2",0.8,NA,3.45564622132577,-2964.78665284469,49.3432190603667,61.9210335162856,2.64619051927563,5929.57330568938,98.6864381207334,0,0,0.464266385707129,0.0752168470376596,1770,37.8679999999999,1020,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,1,"DC-SBM",0,0,NA,-0.502526639225835,1.24046069525911,0.405112907765986,-2.8109487438046,3.16007899723021,0.889518504527381,-2.30842210457877,3.63204394488586,0.635571083281954,5,0.35,"sparse",1,0.1,"GAMMA"
"WST","WST",NA,8,2,4.836,"weak",0.8,0.1225,0.45,0.0625,4,1,"2;1;4;9;2;1;4;37",0.8,0.499575911789652,1.82994733951828,-3031.57294635398,47.3501271778558,136.305979473955,5.56597217887928,6063.14589270796,94.7002543557117,0.0180790960451977,32,0.966614068340812,0.25712976900777,1770,383.986,1020,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393060624131941,0.341765108714261,0.447113754128073,287.440162271805,727.293103448276,42,0.34375,11,1,"WST",0,0,NA,2.39112679667642,1.89885451690342,1.25924696989202,3.97642339434333,4.87958865667318,0.814909549579613,1.58529659766691,4.91334423235118,0.32265123767001,5,0.35,"sparse",1,0.1,"GAMMA"
"WST","SST",NA,8,2,3.933,"weak",0.8,0.1225,0.45,0.0625,4,1,"2;1;4;9;2;1;4;37",0.8,0.499575911789652,1.82994733951828,-3033.96407315065,47.5575735531771,118.575784979979,4.659410674606,6067.92814630131,95.1151471063543,0.00677966101694915,12,1.06429655713119,0.198213850084507,1770,1109.986,1021,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395482679923287,0.326149885583524,0.447670751481599,280.796296296296,702.736625514403,97,0.34375,11,2,"WST",-2.39112679667642,1.89885451690342,1.25924696989202,2.39112679667642,1.89885451690342,1.25924696989202,3.97642339434333,4.87958865667318,0.814909549579613,1.58529659766691,4.91334423235118,0.32265123767001,5,0.35,"sparse",1,0.1,"GAMMA"
"WST","DC-SBM",NA,8,1,1,"weak",0.8,0.1225,0.45,0.0625,4,1,"2;1;4;9;2;1;4;37",0.8,1,1.88557226992099,-3035.54936974832,47.5384400371418,58.4076542168684,2.22337776545157,6071.09873949664,95.0768800742837,0,0,0.494697122176418,0.0718501649829918,1770,38.4459999999999,1022,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,3,"WST",-3.97642339434333,4.87958865667318,0.814909549579613,2.39112679667642,1.89885451690342,1.25924696989202,3.97642339434333,4.87958865667318,0.814909549579613,1.58529659766691,4.91334423235118,0.32265123767001,5,0.35,"sparse",1,0.1,"GAMMA"
"WST","WST",NA,11,1,4.268,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;2;3;1;22;1;3;1;20;5;1",0.8,NA,2.44579937916633,-2969.98213768907,51.0787767343849,160.347819453602,8.14852714306921,5939.96427537814,102.15755346877,0.0124293785310734,22,0.958750303559271,0.259764855752712,1770,357.183,1012,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378879385236959,0.334079609485642,0.424735371843851,310.788732394366,814.750503018109,6,NA,NA,2,"SST",-0.297562559363996,1.61995185773813,0.183686050880222,-0.297562559363996,1.61995185773813,0.183686050880222,1.46031786563708,5.14238350091346,0.283976849524676,1.75788042500108,5.11215122820751,0.343863150076929,3,0.35,"sparse",1,0.1,"GAMMA"
"WST","SST",NA,11,1,4.057,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;2;3;1;22;1;3;1;20;5;1",0.8,NA,2.44579937916633,-2969.68457512971,51.1919009663108,146.04923629757,7.17519342447356,5939.36915025941,102.383801932622,0.00395480225988701,7,0.988056743670525,0.217824226631288,1770,1135.818,1013,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378535147264094,0.329051007565385,0.424507203216252,298.578947368421,779.028340080972,12,NA,NA,1,"SST",0,0,NA,-0.297562559363996,1.61995185773813,0.183686050880222,1.46031786563708,5.14238350091346,0.283976849524676,1.75788042500108,5.11215122820751,0.343863150076929,3,0.35,"sparse",1,0.1,"GAMMA"
"WST","DC-SBM",NA,11,1,1.061,"weak",0.8,0.1225,0.45,0.0625,4,1,"1;2;3;1;22;1;3;1;20;5;1",0.8,NA,2.44579937916633,-2971.44245555471,51.3666711907413,67.2599758499799,3.06851551729035,5942.88491110942,102.733342381483,0.0129943502824859,23,1.2478742175831,0.131620534784611,1770,45.789,1014,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335996208334748,0.270833333333333,0.400200640060428,160.033333333333,461.533333333333,940,NA,NA,3,"SST",-1.75788042500108,5.11215122820751,0.343863150076929,-0.297562559363996,1.61995185773813,0.183686050880222,1.46031786563708,5.14238350091346,0.283976849524676,1.75788042500108,5.11215122820751,0.343863150076929,3,0.35,"sparse",1,0.1,"GAMMA"
